defect_id,product_id,defect_type,defect_date,defect_location,severity,inspection_method,repair_cost,Assembly_Station,Shift,Inspector_ID,Defect_Present,Total_Units_Produced,Units_Passed_First_Time,Units_Reworked,Units_Rejected,Specific_Defect_Type,Root_Cause,Corrective_Action,Preventive_Action,Implementation_Status,Defect_Risk_Probability
155,10,Structural,09/24/2025,Component,Minor,Visual Inspection,935.64,dial,3,I-101,1,223,182,3,38,Loose strap,Improper torque,Recalibrate tool,Set SOP,Pending,0.755
156,56,Functional,01/20/2026,Internal,Minor,Manual Testing,595.9,case,3,I-103,1,317,257,30,30,Movement error,Calibration issue,Reset machine,Daily checks,In Progress,0.799
157,96,Functional,01/06/2026,Surface,Minor,Manual Testing,788.22,strap,1,I-103,0,103,83,4,16,Dial scratch,Handling error,Operator training,Visual inspection,Pending,0.7558
158,96,Functional,09/16/2025,Surface,Critical,Visual Inspection,465.74,case,2,I-103,1,189,135,17,37,Loose strap,Improper torque,Recalibrate tool,Set SOP,In Progress,0.8134
159,77,Structural,01/18/2026,Internal,Moderate,Automated Testing,661.8,dial,1,I-101,1,203,178,5,20,Dial scratch,Handling error,Operator training,Visual inspection,Pending,0.7874
160,91,Structural,01/16/2026,Surface,Moderate,Manual Testing,532.77,movement,2,I-101,0,492,445,27,20,Movement error,Calibration issue,Reset machine,Daily checks,In Progress,0.7398
161,56,Cosmetic,01/20/2026,Component,Minor,Visual Inspection,612.03,strap,3,I-103,0,218,193,26,-1,Movement error,Calibration issue,Reset machine,Daily checks,Pending,0.7202
162,56,Functional,10/10/2025,Component,Moderate,Manual Testing,614.11,dial,3,I-104,1,232,171,16,45,Loose strap,Improper torque,Recalibrate tool,Set SOP,In Progress,0.846
163,12,Cosmetic,09/30/2025,Surface,Minor,Manual Testing,238.39,movement,1,I-104,1,411,354,40,17,Movement error,Calibration issue,Reset machine,Daily checks,Completed,0.8475
164,6,Structural,12/20/2025,Internal,Minor,Visual Inspection,986.51,movement,1,I-102,1,195,167,19,9,Case damage,Machine fault,Replace part,Routine maintenance,Completed,0.8238
165,30,Cosmetic,01/05/2026,Component,Critical,Automated Testing,796.76,case,2,I-103,0,430,405,55,-30,Case damage,Machine fault,Replace part,Routine maintenance,Completed,0.8134
166,34,Functional,10/16/2025,Component,Minor,Visual Inspection,105.27,dial,2,I-102,0,242,195,13,34,Loose strap,Improper torque,Recalibrate tool,Set SOP,In Progress,0.8352
167,99,Cosmetic,09/27/2025,Surface,Moderate,Automated Testing,950.97,movement,1,I-104,1,387,311,41,35,Case damage,Machine fault,Replace part,Routine maintenance,Pending,0.8475
168,14,Structural,02/28/2026,Surface,Critical,Visual Inspection,517.41,strap,2,I-102,1,127,110,18,-1,Dial scratch,Handling error,Operator training,Visual inspection,Pending,0.7565
169,70,Cosmetic,02/02/2026,Surface,Critical,Manual Testing,789.62,strap,1,I-103,1,377,330,42,5,Loose strap,Improper torque,Recalibrate tool,Set SOP,Completed,0.7558
170,4,Functional,01/15/2026,Internal,Moderate,Visual Inspection,942.03,case,2,I-103,1,332,276,26,30,Loose strap,Improper torque,Recalibrate tool,Set SOP,In Progress,0.8134
171,74,Cosmetic,12/26/2025,Surface,Moderate,Manual Testing,352.05,movement,1,I-103,1,116,95,11,10,Dial scratch,Handling error,Operator training,Visual inspection,Pending,0.8095
172,25,Cosmetic,09/02/2025,Component,Critical,Automated Testing,10.22,dial,1,I-101,1,158,132,17,9,Case damage,Machine fault,Replace part,Routine maintenance,Completed,0.7874
173,74,Cosmetic,11/28/2025,Component,Moderate,Automated Testing,932.23,strap,1,I-102,1,189,177,18,-6,Case damage,Machine fault,Replace part,Routine maintenance,Pending,0.7731
174,51,Functional,01/28/2026,Surface,Critical,Automated Testing,715.22,movement,2,I-104,1,298,247,3,48,Case damage,Machine fault,Replace part,Routine maintenance,Pending,0.8352
175,6,Structural,10/20/2025,Internal,Moderate,Manual Testing,999.64,movement,2,I-104,1,461,444,17,0,Loose strap,Improper torque,Recalibrate tool,Set SOP,Completed,0.8352
176,13,Structural,11/08/2025,Surface,Critical,Manual Testing,952.49,case,2,I-104,1,125,105,15,5,Loose strap,Improper torque,Recalibrate tool,Set SOP,Completed,0.8508
177,34,Structural,09/21/2025,Internal,Minor,Manual Testing,174.76,strap,1,I-101,1,124,119,5,0,Case damage,Machine fault,Replace part,Routine maintenance,In Progress,0.6943
178,51,Functional,09/17/2025,Internal,Minor,Visual Inspection,755.15,strap,2,I-101,0,493,460,55,-22,Movement error,Calibration issue,Reset machine,Daily checks,Completed,0.6744
179,44,Structural,12/23/2025,Surface,Moderate,Automated Testing,532.6,dial,2,I-103,1,400,320,24,56,Case damage,Machine fault,Replace part,Routine maintenance,In Progress,0.8216
180,64,Structural,09/07/2025,Component,Minor,Manual Testing,854.25,strap,1,I-104,0,438,412,36,-10,Dial scratch,Handling error,Operator training,Visual inspection,Completed,0.8019
181,91,Functional,10/30/2025,Internal,Minor,Automated Testing,383.83,dial,3,I-101,1,366,267,7,92,Loose strap,Improper torque,Recalibrate tool,Set SOP,Pending,0.755
182,80,Functional,09/27/2025,Internal,Moderate,Manual Testing,80.0,strap,1,I-103,1,280,268,9,3,Dial scratch,Handling error,Operator training,Visual inspection,Pending,0.7558
183,8,Structural,10/03/2025,Component,Critical,Visual Inspection,970.31,case,2,I-104,1,459,402,66,-9,Dial scratch,Handling error,Operator training,Visual inspection,In Progress,0.8508
184,14,Functional,10/10/2025,Internal,Moderate,Visual Inspection,517.63,strap,1,I-102,1,167,119,22,26,Loose strap,Improper torque,Recalibrate tool,Set SOP,Completed,0.7731
185,64,Structural,09/15/2025,Surface,Moderate,Automated Testing,81.33,dial,3,I-103,1,450,396,45,9,Movement error,Calibration issue,Reset machine,Daily checks,In Progress,0.8077
186,21,Structural,11/28/2025,Component,Critical,Manual Testing,540.92,dial,1,I-101,1,420,408,31,-19,Case damage,Machine fault,Replace part,Routine maintenance,Pending,0.7874
187,13,Cosmetic,12/27/2025,Internal,Critical,Visual Inspection,280.77,case,2,I-101,0,148,106,15,27,Dial scratch,Handling error,Operator training,Visual inspection,Pending,0.7618
188,56,Structural,02/01/2026,Internal,Moderate,Automated Testing,87.28,strap,3,I-103,1,274,234,26,14,Loose strap,Improper torque,Recalibrate tool,Set SOP,Completed,0.7202
189,95,Cosmetic,10/24/2025,Surface,Minor,Manual Testing,306.56,strap,2,I-103,1,151,137,13,1,Dial scratch,Handling error,Operator training,Visual inspection,Pending,0.7384
190,4,Functional,02/21/2026,Surface,Critical,Automated Testing,86.46,case,3,I-101,0,201,186,3,12,Case damage,Machine fault,Replace part,Routine maintenance,In Progress,0.7446
191,80,Cosmetic,09/12/2025,Surface,Critical,Manual Testing,13.03,strap,3,I-102,1,315,256,31,28,Movement error,Calibration issue,Reset machine,Daily checks,Pending,0.7391
192,95,Functional,11/20/2025,Component,Critical,Visual Inspection,525.07,strap,1,I-104,1,287,217,33,37,Movement error,Calibration issue,Reset machine,Daily checks,Pending,0.8019
193,28,Cosmetic,01/20/2026,Component,Critical,Manual Testing,219.71,dial,1,I-102,1,156,111,23,22,Movement error,Calibration issue,Reset machine,Daily checks,In Progress,0.8475
194,1,Structural,11/02/2025,Component,Critical,Visual Inspection,192.21,strap,2,I-103,1,146,125,1,20,Loose strap,Improper torque,Recalibrate tool,Set SOP,In Progress,0.7384
195,17,Structural,10/19/2025,Component,Moderate,Automated Testing,924.13,strap,1,I-102,0,258,213,28,17,Loose strap,Improper torque,Recalibrate tool,Set SOP,In Progress,0.7731
196,18,Structural,02/20/2026,Component,Minor,Manual Testing,65.23,case,1,I-101,1,273,263,24,-14,Movement error,Calibration issue,Reset machine,Daily checks,Pending,0.7781
197,76,Cosmetic,01/27/2026,Internal,Moderate,Automated Testing,481.7,case,3,I-103,0,341,244,24,73,Case damage,Machine fault,Replace part,Routine maintenance,Completed,0.799
198,28,Cosmetic,12/14/2025,Surface,Minor,Manual Testing,561.27,movement,1,I-104,1,381,339,10,32,Case damage,Machine fault,Replace part,Routine maintenance,Pending,0.8475
199,75,Structural,09/30/2025,Internal,Moderate,Visual Inspection,169.54,dial,3,I-101,1,340,240,22,78,Loose strap,Improper torque,Recalibrate tool,Set SOP,In Progress,0.755
200,78,Cosmetic,12/04/2025,Surface,Moderate,Visual Inspection,629.38,strap,3,I-101,1,469,350,27,92,Movement error,Calibration issue,Reset machine,Daily checks,Completed,0.6538
201,8,Cosmetic,09/04/2025,Surface,Critical,Automated Testing,783.36,strap,3,I-104,1,104,86,5,13,Case damage,Machine fault,Replace part,Routine maintenance,Pending,0.771
202,97,Structural,01/24/2026,Surface,Moderate,Automated Testing,102.88,movement,2,I-104,0,183,151,20,12,Case damage,Machine fault,Replace part,Routine maintenance,Completed,0.8352
203,22,Structural,12/05/2025,Component,Minor,Manual Testing,269.04,strap,2,I-102,0,407,363,43,1,Case damage,Machine fault,Replace part,Routine maintenance,Pending,0.7565
204,82,Functional,09/20/2025,Surface,Moderate,Visual Inspection,257.33,dial,2,I-103,0,460,439,42,-21,Loose strap,Improper torque,Recalibrate tool,Set SOP,In Progress,0.8216
205,17,Structural,01/27/2026,Component,Critical,Automated Testing,824.37,movement,3,I-104,1,347,304,49,-6,Movement error,Calibration issue,Reset machine,Daily checks,In Progress,0.8221
206,59,Functional,01/28/2026,Surface,Minor,Manual Testing,303.59,dial,2,I-104,0,153,147,9,-3,Dial scratch,Handling error,Operator training,Visual inspection,Completed,0.8576
207,69,Functional,12/22/2025,Internal,Critical,Automated Testing,793.3,movement,2,I-103,1,260,246,11,3,Movement error,Calibration issue,Reset machine,Daily checks,Pending,0.7948
208,22,Functional,10/01/2025,Surface,Critical,Manual Testing,929.05,movement,1,I-104,1,325,280,33,12,Movement error,Calibration issue,Reset machine,Daily checks,In Progress,0.8475
209,76,Functional,01/19/2026,Internal,Moderate,Manual Testing,473.36,case,2,I-104,1,114,106,4,4,Loose strap,Improper torque,Recalibrate tool,Set SOP,Completed,0.8508
210,59,Functional,09/25/2025,Surface,Minor,Automated Testing,478.17,dial,2,I-102,0,323,284,17,22,Case damage,Machine fault,Replace part,Routine maintenance,In Progress,0.8352
211,61,Structural,11/11/2025,Component,Critical,Manual Testing,430.49,strap,3,I-101,1,160,115,6,39,Case damage,Machine fault,Replace part,Routine maintenance,In Progress,0.6538
212,69,Functional,01/06/2026,Surface,Moderate,Automated Testing,460.93,strap,3,I-101,1,221,200,4,17,Loose strap,Improper torque,Recalibrate tool,Set SOP,Pending,0.6538
213,75,Cosmetic,09/30/2025,Internal,Moderate,Visual Inspection,917.3,dial,3,I-101,1,376,273,47,56,Loose strap,Improper torque,Recalibrate tool,Set SOP,Completed,0.755
214,42,Structural,09/02/2025,Surface,Minor,Manual Testing,520.21,strap,3,I-101,1,145,125,6,14,Loose strap,Improper torque,Recalibrate tool,Set SOP,Pending,0.6538
215,38,Functional,09/07/2025,Internal,Critical,Manual Testing,575.58,strap,3,I-104,0,489,438,37,14,Loose strap,Improper torque,Recalibrate tool,Set SOP,Pending,0.771
216,5,Structural,09/13/2025,Internal,Moderate,Visual Inspection,296.41,dial,3,I-103,1,393,282,6,105,Loose strap,Improper torque,Recalibrate tool,Set SOP,In Progress,0.8077
217,10,Cosmetic,01/27/2026,Surface,Critical,Automated Testing,622.98,movement,2,I-103,1,161,123,17,21,Dial scratch,Handling error,Operator training,Visual inspection,In Progress,0.7948
218,21,Functional,01/09/2026,Internal,Critical,Visual Inspection,484.08,dial,3,I-102,1,185,176,10,-1,Movement error,Calibration issue,Reset machine,Daily checks,Completed,0.8221
219,92,Cosmetic,12/26/2025,Component,Critical,Manual Testing,479.31,movement,3,I-102,1,309,269,35,5,Movement error,Calibration issue,Reset machine,Daily checks,Completed,0.7955
220,29,Functional,12/05/2025,Surface,Minor,Manual Testing,624.22,strap,1,I-104,1,177,136,11,30,Movement error,Calibration issue,Reset machine,Daily checks,Completed,0.8019
221,49,Functional,02/10/2026,Component,Critical,Manual Testing,777.18,strap,2,I-103,1,301,268,11,22,Case damage,Machine fault,Replace part,Routine maintenance,Completed,0.7384
222,28,Functional,10/13/2025,Component,Critical,Automated Testing,842.93,strap,2,I-103,1,401,347,32,22,Dial scratch,Handling error,Operator training,Visual inspection,In Progress,0.7384
223,87,Cosmetic,09/26/2025,Surface,Critical,Manual Testing,974.99,case,2,I-101,1,496,416,14,66,Movement error,Calibration issue,Reset machine,Daily checks,Pending,0.7618
224,51,Functional,12/24/2025,Component,Critical,Manual Testing,989.81,movement,3,I-104,1,322,313,23,-14,Case damage,Machine fault,Replace part,Routine maintenance,Completed,0.8221
225,64,Structural,12/23/2025,Component,Moderate,Visual Inspection,484.04,case,3,I-104,1,321,286,17,18,Dial scratch,Handling error,Operator training,Visual inspection,Pending,0.8387
226,77,Cosmetic,02/03/2026,Internal,Minor,Automated Testing,38.39,case,3,I-101,1,102,82,14,6,Dial scratch,Handling error,Operator training,Visual inspection,In Progress,0.7446
227,23,Functional,02/22/2026,Surface,Minor,Visual Inspection,334.53,dial,1,I-104,0,105,97,1,7,Case damage,Machine fault,Replace part,Routine maintenance,Completed,0.8685
228,89,Functional,10/05/2025,Component,Moderate,Manual Testing,580.74,case,3,I-104,0,192,181,20,-9,Dial scratch,Handling error,Operator training,Visual inspection,In Progress,0.8387
229,30,Functional,11/23/2025,Surface,Critical,Manual Testing,638.28,dial,1,I-102,1,107,78,3,26,Case damage,Machine fault,Replace part,Routine maintenance,Completed,0.8475
230,88,Structural,09/28/2025,Component,Minor,Manual Testing,727.86,dial,2,I-103,1,334,252,18,64,Movement error,Calibration issue,Reset machine,Daily checks,Pending,0.8216
231,47,Structural,11/10/2025,Internal,Moderate,Manual Testing,117.74,case,3,I-104,1,207,157,14,36,Case damage,Machine fault,Replace part,Routine maintenance,In Progress,0.8387
232,74,Functional,01/24/2026,Component,Critical,Automated Testing,891.94,movement,1,I-102,1,260,232,35,-7,Dial scratch,Handling error,Operator training,Visual inspection,Pending,0.8238
233,53,Structural,11/16/2025,Surface,Minor,Visual Inspection,440.58,movement,1,I-103,1,308,267,13,28,Movement error,Calibration issue,Reset machine,Daily checks,In Progress,0.8095
234,39,Structural,10/18/2025,Internal,Minor,Automated Testing,310.96,movement,3,I-101,0,339,296,7,36,Movement error,Calibration issue,Reset machine,Daily checks,Completed,0.7216
235,4,Cosmetic,09/28/2025,Internal,Critical,Manual Testing,430.74,movement,2,I-102,1,430,414,23,-7,Loose strap,Improper torque,Recalibrate tool,Set SOP,In Progress,0.81
236,29,Cosmetic,01/04/2026,Surface,Minor,Automated Testing,47.99,movement,2,I-102,0,432,396,10,26,Loose strap,Improper torque,Recalibrate tool,Set SOP,Pending,0.81
237,31,Cosmetic,03/01/2026,Component,Moderate,Visual Inspection,728.13,case,2,I-103,1,149,109,4,36,Dial scratch,Handling error,Operator training,Visual inspection,Pending,0.8134
238,75,Structural,10/07/2025,Component,Critical,Visual Inspection,890.35,case,1,I-101,1,110,87,9,14,Case damage,Machine fault,Replace part,Routine maintenance,Pending,0.7781
239,88,Functional,11/11/2025,Surface,Minor,Manual Testing,356.55,strap,1,I-102,0,450,369,8,73,Case damage,Machine fault,Replace part,Routine maintenance,In Progress,0.7731
240,14,Structural,01/03/2026,Internal,Moderate,Visual Inspection,271.51,movement,1,I-104,1,255,206,3,46,Dial scratch,Handling error,Operator training,Visual inspection,Completed,0.8475
241,80,Structural,11/18/2025,Surface,Minor,Manual Testing,288.31,case,1,I-104,1,169,149,18,2,Movement error,Calibration issue,Reset machine,Daily checks,Pending,0.8621
242,13,Functional,10/09/2025,Component,Critical,Automated Testing,663.49,strap,2,I-104,1,268,254,16,-2,Dial scratch,Handling error,Operator training,Visual inspection,Completed,0.7869
243,5,Functional,02/17/2026,Internal,Moderate,Manual Testing,711.77,movement,3,I-101,1,371,291,10,70,Dial scratch,Handling error,Operator training,Visual inspection,Completed,0.7216
244,67,Structural,02/03/2026,Surface,Moderate,Visual Inspection,822.12,dial,1,I-102,1,167,142,7,18,Movement error,Calibration issue,Reset machine,Daily checks,In Progress,0.8475
245,35,Cosmetic,01/26/2026,Component,Critical,Visual Inspection,889.52,strap,1,I-104,0,454,418,45,-9,Case damage,Machine fault,Replace part,Routine maintenance,In Progress,0.8019
246,81,Structural,11/29/2025,Surface,Minor,Automated Testing,471.55,case,2,I-101,0,351,286,17,48,Dial scratch,Handling error,Operator training,Visual inspection,Completed,0.7618
247,24,Cosmetic,12/22/2025,Internal,Critical,Automated Testing,136.69,dial,3,I-104,0,147,109,11,27,Case damage,Machine fault,Replace part,Routine maintenance,Pending,0.846
248,65,Structural,11/26/2025,Component,Minor,Automated Testing,148.61,dial,3,I-103,1,283,235,7,41,Dial scratch,Handling error,Operator training,Visual inspection,Pending,0.8077
249,13,Structural,01/15/2026,Surface,Moderate,Manual Testing,768.39,dial,2,I-102,1,419,299,38,82,Movement error,Calibration issue,Reset machine,Daily checks,Pending,0.8352
250,65,Cosmetic,02/06/2026,Component,Moderate,Manual Testing,545.52,strap,2,I-102,1,286,275,15,-4,Movement error,Calibration issue,Reset machine,Daily checks,Completed,0.7565
251,33,Structural,09/29/2025,Component,Moderate,Automated Testing,978.58,case,3,I-101,0,189,136,18,35,Loose strap,Improper torque,Recalibrate tool,Set SOP,Completed,0.7446
252,92,Cosmetic,01/15/2026,Internal,Critical,Visual Inspection,62.59,dial,1,I-101,1,431,354,53,24,Movement error,Calibration issue,Reset machine,Daily checks,Completed,0.7874
253,25,Functional,12/31/2025,Component,Minor,Automated Testing,146.53,movement,3,I-102,1,238,201,22,15,Loose strap,Improper torque,Recalibrate tool,Set SOP,Pending,0.7955
254,33,Functional,01/01/2026,Surface,Minor,Automated Testing,168.3,dial,2,I-104,1,456,445,23,-12,Dial scratch,Handling error,Operator training,Visual inspection,In Progress,0.8576
255,63,Cosmetic,09/02/2025,Internal,Critical,Manual Testing,225.2,dial,1,I-104,1,188,140,8,40,Case damage,Machine fault,Replace part,Routine maintenance,Pending,0.8685
256,23,Structural,02/17/2026,Surface,Minor,Manual Testing,875.37,strap,1,I-103,1,373,273,20,80,Movement error,Calibration issue,Reset machine,Daily checks,Pending,0.7558
257,47,Structural,02/02/2026,Surface,Minor,Manual Testing,772.77,strap,2,I-104,0,118,82,3,33,Movement error,Calibration issue,Reset machine,Daily checks,In Progress,0.7869
258,78,Structural,01/06/2026,Component,Minor,Automated Testing,617.12,case,2,I-101,1,410,304,14,92,Movement error,Calibration issue,Reset machine,Daily checks,Completed,0.7618
259,74,Functional,11/19/2025,Surface,Moderate,Manual Testing,900.61,movement,2,I-101,1,457,346,55,56,Dial scratch,Handling error,Operator training,Visual inspection,Completed,0.7398
260,70,Structural,11/02/2025,Surface,Minor,Manual Testing,159.25,strap,3,I-104,1,473,414,30,29,Loose strap,Improper torque,Recalibrate tool,Set SOP,In Progress,0.771
261,59,Functional,11/01/2025,Internal,Minor,Manual Testing,16.62,dial,3,I-101,1,253,192,17,44,Dial scratch,Handling error,Operator training,Visual inspection,Pending,0.755
262,77,Functional,10/26/2025,Surface,Minor,Automated Testing,906.96,case,1,I-102,1,489,345,45,99,Case damage,Machine fault,Replace part,Routine maintenance,Pending,0.8402
263,96,Functional,01/02/2026,Internal,Minor,Manual Testing,446.61,dial,2,I-102,1,359,334,33,-8,Dial scratch,Handling error,Operator training,Visual inspection,In Progress,0.8352
264,39,Structural,09/29/2025,Surface,Minor,Manual Testing,406.06,dial,1,I-104,1,207,166,4,37,Case damage,Machine fault,Replace part,Routine maintenance,Completed,0.8685
265,54,Structural,02/07/2026,Component,Minor,Automated Testing,286.25,strap,1,I-102,1,470,375,59,36,Movement error,Calibration issue,Reset machine,Daily checks,Completed,0.7731
266,74,Structural,02/21/2026,Surface,Critical,Manual Testing,319.6,case,1,I-102,1,384,301,13,70,Case damage,Machine fault,Replace part,Routine maintenance,In Progress,0.8402
267,57,Functional,02/03/2026,Surface,Moderate,Manual Testing,798.16,movement,1,I-103,1,158,153,17,-12,Case damage,Machine fault,Replace part,Routine maintenance,In Progress,0.8095
268,48,Functional,09/05/2025,Component,Critical,Manual Testing,674.23,movement,2,I-103,1,224,167,26,31,Loose strap,Improper torque,Recalibrate tool,Set SOP,Pending,0.7948
269,99,Cosmetic,11/08/2025,Component,Minor,Manual Testing,940.48,strap,1,I-102,1,453,431,49,-27,Case damage,Machine fault,Replace part,Routine maintenance,Pending,0.7731
270,71,Functional,12/05/2025,Internal,Critical,Visual Inspection,42.63,strap,2,I-104,1,372,341,33,-2,Case damage,Machine fault,Replace part,Routine maintenance,In Progress,0.7869
271,37,Cosmetic,02/25/2026,Surface,Critical,Automated Testing,433.02,case,2,I-103,0,206,148,2,56,Dial scratch,Handling error,Operator training,Visual inspection,Pending,0.8134
272,65,Structural,12/09/2025,Internal,Minor,Manual Testing,606.91,movement,3,I-101,1,398,388,24,-14,Movement error,Calibration issue,Reset machine,Daily checks,In Progress,0.7216
273,94,Structural,02/14/2026,Surface,Moderate,Automated Testing,129.41,movement,2,I-101,1,344,266,32,46,Dial scratch,Handling error,Operator training,Visual inspection,Completed,0.7398
274,83,Cosmetic,10/06/2025,Surface,Critical,Manual Testing,444.1,movement,3,I-101,1,435,316,27,92,Dial scratch,Handling error,Operator training,Visual inspection,In Progress,0.7216
275,71,Functional,01/28/2026,Surface,Moderate,Manual Testing,634.26,dial,2,I-104,1,346,322,45,-21,Movement error,Calibration issue,Reset machine,Daily checks,Pending,0.8576
276,46,Cosmetic,09/13/2025,Surface,Moderate,Manual Testing,672.89,movement,2,I-102,1,107,96,5,6,Movement error,Calibration issue,Reset machine,Daily checks,Pending,0.81
277,56,Functional,01/21/2026,Internal,Minor,Visual Inspection,557.67,dial,2,I-101,1,240,209,12,19,Case damage,Machine fault,Replace part,Routine maintenance,In Progress,0.7716
278,34,Functional,02/21/2026,Internal,Minor,Manual Testing,272.53,case,3,I-104,1,461,342,21,98,Case damage,Machine fault,Replace part,Routine maintenance,In Progress,0.8387
279,19,Structural,10/18/2025,Internal,Minor,Visual Inspection,503.24,dial,3,I-103,0,107,89,6,12,Loose strap,Improper torque,Recalibrate tool,Set SOP,In Progress,0.8077
280,27,Functional,12/23/2025,Surface,Critical,Visual Inspection,611.37,case,1,I-102,1,451,414,39,-2,Dial scratch,Handling error,Operator training,Visual inspection,In Progress,0.8402
281,69,Cosmetic,09/24/2025,Surface,Minor,Visual Inspection,501.54,movement,3,I-103,1,193,151,21,21,Movement error,Calibration issue,Reset machine,Daily checks,In Progress,0.7794
282,90,Structural,01/19/2026,Surface,Minor,Manual Testing,290.23,movement,3,I-104,1,420,330,43,47,Case damage,Machine fault,Replace part,Routine maintenance,Completed,0.8221
283,63,Cosmetic,09/30/2025,Internal,Moderate,Manual Testing,195.84,case,3,I-101,1,138,96,16,26,Movement error,Calibration issue,Reset machine,Daily checks,In Progress,0.7446
284,86,Structural,12/09/2025,Internal,Moderate,Visual Inspection,88.05,strap,3,I-101,0,180,134,24,22,Case damage,Machine fault,Replace part,Routine maintenance,Completed,0.6538
285,82,Structural,01/16/2026,Surface,Critical,Manual Testing,97.99,case,1,I-104,1,286,270,35,-19,Loose strap,Improper torque,Recalibrate tool,Set SOP,In Progress,0.8621
286,65,Structural,02/18/2026,Internal,Critical,Visual Inspection,349.24,strap,3,I-101,0,183,150,2,31,Loose strap,Improper torque,Recalibrate tool,Set SOP,Pending,0.6538
287,14,Structural,10/01/2025,Internal,Critical,Manual Testing,421.51,dial,2,I-102,0,187,182,21,-16,Movement error,Calibration issue,Reset machine,Daily checks,In Progress,0.8352
288,48,Structural,01/25/2026,Internal,Critical,Manual Testing,422.77,dial,2,I-104,0,341,276,13,52,Loose strap,Improper torque,Recalibrate tool,Set SOP,In Progress,0.8576
289,61,Structural,10/08/2025,Internal,Minor,Automated Testing,925.03,dial,3,I-103,0,441,397,12,32,Movement error,Calibration issue,Reset machine,Daily checks,Completed,0.8077
290,35,Structural,10/28/2025,Internal,Minor,Automated Testing,319.58,movement,3,I-104,0,192,149,19,24,Case damage,Machine fault,Replace part,Routine maintenance,Completed,0.8221
291,67,Functional,12/22/2025,Surface,Moderate,Automated Testing,556.42,dial,2,I-102,1,185,148,10,27,Dial scratch,Handling error,Operator training,Visual inspection,Completed,0.8352
292,16,Structural,10/05/2025,Surface,Minor,Automated Testing,818.54,strap,2,I-102,1,143,107,2,34,Loose strap,Improper torque,Recalibrate tool,Set SOP,Completed,0.7565
293,44,Structural,09/02/2025,Internal,Moderate,Automated Testing,320.62,dial,1,I-104,1,236,188,6,42,Case damage,Machine fault,Replace part,Routine maintenance,In Progress,0.8685
294,80,Cosmetic,11/30/2025,Internal,Moderate,Manual Testing,178.82,case,2,I-104,1,173,147,1,25,Dial scratch,Handling error,Operator training,Visual inspection,In Progress,0.8508
295,83,Structural,10/30/2025,Surface,Critical,Manual Testing,237.65,case,2,I-101,1,135,131,18,-14,Dial scratch,Handling error,Operator training,Visual inspection,In Progress,0.7618
296,93,Structural,11/13/2025,Component,Moderate,Manual Testing,658.16,movement,3,I-102,0,200,177,2,21,Dial scratch,Handling error,Operator training,Visual inspection,Completed,0.7955
297,43,Structural,09/23/2025,Surface,Minor,Visual Inspection,326.58,case,2,I-104,1,255,192,10,53,Case damage,Machine fault,Replace part,Routine maintenance,Completed,0.8508
298,87,Cosmetic,10/15/2025,Surface,Minor,Manual Testing,301.61,strap,1,I-104,1,354,252,24,78,Case damage,Machine fault,Replace part,Routine maintenance,Pending,0.8019
299,56,Cosmetic,01/25/2026,Surface,Minor,Visual Inspection,357.56,dial,2,I-102,0,270,198,16,56,Movement error,Calibration issue,Reset machine,Daily checks,Completed,0.8352
300,3,Functional,12/26/2025,Internal,Critical,Manual Testing,358.21,movement,3,I-104,1,315,270,43,2,Dial scratch,Handling error,Operator training,Visual inspection,Pending,0.8221
301,22,Structural,01/02/2026,Surface,Moderate,Manual Testing,89.91,dial,3,I-101,1,269,245,4,20,Dial scratch,Handling error,Operator training,Visual inspection,In Progress,0.755
302,85,Cosmetic,01/05/2026,Internal,Minor,Automated Testing,18.42,dial,2,I-102,1,351,338,28,-15,Dial scratch,Handling error,Operator training,Visual inspection,Pending,0.8352
303,80,Functional,12/25/2025,Component,Moderate,Visual Inspection,294.31,strap,3,I-101,0,459,323,48,88,Movement error,Calibration issue,Reset machine,Daily checks,In Progress,0.6538
304,17,Functional,12/24/2025,Internal,Minor,Visual Inspection,865.96,case,1,I-101,1,421,356,59,6,Dial scratch,Handling error,Operator training,Visual inspection,Completed,0.7781
305,35,Cosmetic,02/11/2026,Component,Minor,Visual Inspection,578.28,case,1,I-101,1,154,128,14,12,Case damage,Machine fault,Replace part,Routine maintenance,Pending,0.7781
306,39,Structural,10/14/2025,Surface,Critical,Visual Inspection,495.87,dial,2,I-101,0,190,167,23,0,Dial scratch,Handling error,Operator training,Visual inspection,Pending,0.7716
307,30,Functional,02/18/2026,Component,Minor,Visual Inspection,728.39,movement,2,I-102,1,377,322,8,47,Loose strap,Improper torque,Recalibrate tool,Set SOP,Pending,0.81
308,47,Cosmetic,09/08/2025,Component,Minor,Manual Testing,949.72,case,2,I-101,1,200,178,12,10,Case damage,Machine fault,Replace part,Routine maintenance,In Progress,0.7618
309,24,Structural,11/22/2025,Component,Moderate,Manual Testing,56.12,movement,3,I-101,1,254,224,15,15,Movement error,Calibration issue,Reset machine,Daily checks,In Progress,0.7216
310,76,Structural,01/25/2026,Component,Moderate,Automated Testing,56.35,case,1,I-104,1,476,348,63,65,Dial scratch,Handling error,Operator training,Visual inspection,Pending,0.8621
311,38,Structural,12/08/2025,Internal,Minor,Manual Testing,651.35,movement,1,I-102,1,448,413,13,22,Loose strap,Improper torque,Recalibrate tool,Set SOP,Pending,0.8238
